                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9992,                 4.8809,                 1.8893,                0.00812,                0.95522,                0.39688,                0.22847,                 1.4093,                 3.3654,                 1.4039,             0.00065625,             0.00065625,             0.00065625
                      2,                  1.603,                 3.8297,                 1.5881,                0.64475,                0.29851,                0.43276,                0.28291,                 1.2636,                 2.8373,                 1.3494,              0.0011919,              0.0011919,              0.0011919
                      3,                 1.5276,                 3.3323,                 1.5401,                 0.4544,                0.53731,                0.48605,                0.30153,                 1.3833,                 2.8307,                 1.4316,              0.0015956,              0.0015956,              0.0015956
                      4,                 1.5305,                 3.4615,                 1.5383,                0.93998,                0.32836,                0.41556,                0.21579,                 1.6058,                 3.1358,                 1.8242,               0.001406,               0.001406,               0.001406
                      5,                 1.5198,                 3.2343,                 1.5343,                0.81646,                0.39845,                0.57372,                0.35288,                 1.4421,                 2.5987,                 1.6586,               0.001208,               0.001208,               0.001208
                      6,                 1.3478,                 2.6991,                  1.475,                0.51922,                0.66091,                 0.5984,                  0.363,                 1.3649,                 3.8003,                 1.6592,                0.00101,                0.00101,                0.00101
                      7,                 1.3079,                 2.7763,                 1.3761,                0.70941,                0.70149,                0.76348,                0.49974,                 1.2657,                 2.8521,                 1.4708,               0.000812,               0.000812,               0.000812
                      8,                  1.319,                 2.7045,                 1.4536,                0.85838,                0.77612,                0.85876,                0.55326,                 1.2979,                 2.0406,                  1.556,               0.000614,               0.000614,               0.000614
                      9,                 1.3067,                 2.6941,                  1.348,                0.87932,                0.80597,                0.87561,                0.58076,                 1.2115,                 1.9009,                 1.4341,               0.000416,               0.000416,               0.000416
                     10,                 1.2782,                 2.3002,                 1.3616,                0.89909,                0.79795,                0.87343,                0.58627,                 1.1589,                 1.9633,                 1.3712,               0.000218,               0.000218,               0.000218
