                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1689,                 6.5564,                 4.5294,                0.00196,                0.41791,                0.01006,                0.00233,                 3.7839,                 7.0343,                 4.1619,                0.00042,                0.00042,                0.00042
                      2,                 3.1664,                 5.9589,                 4.6011,                0.00198,                0.41791,                0.00411,                0.00116,                  3.799,                 7.0305,                 4.1681,             0.00077486,             0.00077486,             0.00077486
                      3,                 3.2772,                 5.8118,                 4.3757,                0.00194,                0.41791,                0.00362,                0.00108,                 3.8285,                 6.8884,                 4.1833,              0.0010426,              0.0010426,              0.0010426
                      4,                 2.9215,                 5.3418,                 4.1352,                0.00195,                0.41791,                0.00435,                0.00118,                 3.8355,                 6.6823,                 4.1864,              0.0012232,              0.0012232,              0.0012232
                      5,                 2.7844,                  5.363,                 4.1646,                0.00202,                0.41791,                0.00521,                0.00144,                 3.8554,                  6.295,                 4.1933,               0.001208,               0.001208,               0.001208
                      6,                 2.9103,                 5.6364,                 4.0498,                  0.002,                0.41791,                0.00675,                 0.0017,                 3.8721,                 5.9322,                  4.195,                0.00101,                0.00101,                0.00101
                      7,                  2.775,                 5.5477,                 3.9217,                0.00195,                0.41791,                0.00649,                0.00173,                 3.8709,                  5.817,                 4.1998,               0.000812,               0.000812,               0.000812
                      8,                 2.9219,                 5.4969,                 3.9568,                0.00236,                0.55224,                0.01268,                0.00484,                  3.673,                 5.9266,                 4.1032,               0.000614,               0.000614,               0.000614
                      9,                 3.1713,                 5.7405,                 3.8656,                0.00221,                0.56716,                0.02488,                0.01225,                 3.4706,                 6.2391,                 4.0034,               0.000416,               0.000416,               0.000416
                     10,                 2.6975,                 5.1038,                 3.9361,                0.20087,                0.03781,                0.03565,                0.01416,                 3.1722,                 6.2829,                 3.8876,               0.000218,               0.000218,               0.000218
